ID Number,Name,Fed,Sex,Tit,WTit,OTit,Rating,Gms,B-day
1503014,"Carlsen, Magnus",NOR,M,GM,,,2833,0,1990
2016192,"Nakamura, Hikaru",USA,M,GM,,,2802,0,1987
46616543,Gukesh D,IND,M,GM,,,2787,13,2006
2020009,"Caruana, Fabiano",USA,M,GM,,,2783,13,1992
35009192,Erigaisi Arjun,IND,M,GM,,,2777,13,2003
14204118,"Abdusattorov, Nodirbek",UZB,M,GM,,,2773,13,2004
8603405,"Wei, Yi",CHN,M,GM,,,2760,15,1999
25059530,Praggnanandhaa R,IND,M,GM,,,2758,13,2005
12573981,"Firouzja, Alireza",FRA,M,GM,,,2757,2,2003
4168119,"Nepomniachtchi, Ian",RUS,M,GM,,,2753,2,1990
13401319,"Mamedyarov, Shakhriyar",AZE,M,GM,,,2748,12,1985
13300474,"Aronian, Levon",USA,M,GM,,,2748,2,1982
5202213,"So, Wesley",USA,M,GM,,,2748,4,1993
5000017,"Anand, Viswanathan",IND,M,GM,,,2743,2,1969
3503240,"Dominguez Perez, Leinier",USA,M,GM,,,2741,0,1983
24130737,"Fedoseev, Vladimir",SLO,M,GM,,,2739,14,1995
12401137,"Le, Quang Liem",VIE,M,GM,,FST,2739,0,1991
1170546,"Duda, Jan-Krzysztof",POL,M,GM,,,2739,0,1998
24116068,"Giri, Anish",NED,M,GM,,,2737,15,1994
8603677,"Ding, Liren",CHN,M,GM,,,2734,0,1992
2093596,"Niemann, Hans Moke",USA,M,GM,,,2734,0,2003
5072786,"Aravindh, Chithambaram VR.",IND,M,GM,,,2731,2,1999
623539,"Vachier-Lagrave, Maxime",FRA,M,GM,,,2725,2,1990
5029465,"Vidit, Santosh Gujrathi",IND,M,GM,,,2720,2,1994
12940690,"Keymer, Vincent",GER,M,GM,,,2719,14,2004
2900084,"Topalov, Veselin",BUL,M,GM,,,2717,0,1975
8603820,"Yu, Yangyi",CHN,M,GM,,,2714,2,1994
738590,"Rapport, Richard",HUN,M,GM,,,2713,8,1996
14205483,"Sindarov, Javokhir",UZB,M,GM,,,2707,4,2005
5007003,"Harikrishna, Pentala",IND,M,GM,,,2704,17,1986
24126055,"Dubov, Daniil",RUS,M,GM,,,2701,0,1996
8602883,"Wang, Hao",CHN,M,GM,,,2701,0,1989
4102142,"Svidler, Peter",FID,M,GM,,,2698,2,1976
4158814,"Andreikin, Dmitry",FID,M,GM,,,2695,0,1990
13400924,"Radjabov, Teimour",AZE,M,GM,,,2692,6,1987
2040506,"Sevian, Samuel",USA,M,GM,,,2692,0,2000
1226380,"Deac, Bogdan-Daniel",ROU,M,GM,,,2692,0,2001
24175439,"Esipenko, Andrey",FID,M,GM,,,2691,8,2002
24133795,"Sarana, Alexey",SRB,M,GM,,,2689,19,2000
2023970,"Robson, Ray",USA,M,GM,,,2689,0,1994
24101605,"Artemiev, Vladislav",RUS,M,GM,,,2688,9,1998
25092340,Nihal Sarin,IND,M,GM,,,2687,0,2004
4126025,"Grischuk, Alexander",RUS,M,GM,,,2687,0,1983
8601445,"Bu, Xiangzhi",CHN,M,GM,,,2684,0,1985
2056437,"Liang, Awonder",USA,M,GM,,,2684,11,2003
12539929,"Maghsoodloo, Parham",IRI,M,GM,,,2677,9,2000
358878,"Nguyen, Thai Dai Van",CZE,M,GM,,,2677,15,2001
1039784,"Van Foreest, Jorden",NED,M,GM,,,2676,15,1999
